From Date,RH
09-12-2018 00:00,76.2
10-12-2018 00:00,82.77
11-12-2018 00:00,83.72
12-12-2018 00:00,76.38
13-12-2018 00:00,73.29
14-12-2018 00:00,72.65
15-12-2018 00:00,67.15
16-12-2018 00:00,71.35
17-12-2018 00:00,74.96
18-12-2018 00:00,71.82
19-12-2018 00:00,75.26
20-12-2018 00:00,75.74
21-12-2018 00:00,79.34
22-12-2018 00:00,80.4
23-12-2018 00:00,81.77
24-12-2018 00:00,80.44
25-12-2018 00:00,80.37
26-12-2018 00:00,77.27
27-12-2018 00:00,69.44
28-12-2018 00:00,72.71
29-12-2018 00:00,75.11
30-12-2018 00:00,74.27
31-12-2018 00:00,75.09
01-01-2019 00:00,76.01
02-01-2019 00:00,79.19
03-01-2019 00:00,77.47
04-01-2019 00:00,82.45
05-01-2019 00:00,76.37
06-01-2019 00:00,78.87
07-01-2019 00:00,82.45
08-01-2019 00:00,73.81
09-01-2019 00:00,64.24
10-01-2019 00:00,72.85
11-01-2019 00:00,77.84
12-01-2019 00:00,76.39
13-01-2019 00:00,71.87
14-01-2019 00:00,52.75
15-01-2019 00:00,62.47
16-01-2019 00:00,79.24
17-01-2019 00:00,75.81
18-01-2019 00:00,80.19
19-01-2019 00:00,73.15
20-01-2019 00:00,71.73
21-01-2019 00:00,79.19
22-01-2019 00:00,92.56
23-01-2019 00:00,89
24-01-2019 00:00,80.88
25-01-2019 00:00,74.86
26-01-2019 00:00,61.83
27-01-2019 00:00,63.33
28-01-2019 00:00,55.02
29-01-2019 00:00,60.36
30-01-2019 00:00,70.04
31-01-2019 00:00,68.76
01-02-2019 00:00,75.29
02-02-2019 00:00,86.68
03-02-2019 00:00,88.45
04-02-2019 00:00,79.93
05-02-2019 00:00,79.03
06-02-2019 00:00,83.76
07-02-2019 00:00,91.88
08-02-2019 00:00,74.29
09-02-2019 00:00,69.49
10-02-2019 00:00,75.94
11-02-2019 00:00,76.94
12-02-2019 00:00,79.67
13-02-2019 00:00,75.69
14-02-2019 00:00,82.78
15-02-2019 00:00,80.91
16-02-2019 00:00,83.84
17-02-2019 00:00,77.89
18-02-2019 00:00,69.83
19-02-2019 00:00,78.6
20-02-2019 00:00,80.03
21-02-2019 00:00,74.52
22-02-2019 00:00,69.15
23-02-2019 00:00,56.68
24-02-2019 00:00,59.16
25-02-2019 00:00,70.94
26-02-2019 00:00,72.56
27-02-2019 00:00,82.92
28-02-2019 00:00,70.19
01-03-2019 00:00,66.34
02-03-2019 00:00,86.45
03-03-2019 00:00,87.02
