,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
27,500,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 500}",-0.03552170967741723,-0.3675008759087914,1
28,50,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 50}",-0.038184572252481376,-0.39183807156683337,1
29,100,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 100}",-0.036641516543742446,-0.3435051007932124,1
30,300,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 300}",-0.035845747568811585,-0.3670099731103612,1
31,500,10,5,"{'max_depth': 5, 'max_features': 10, 'n_estimators': 500}",-0.03574949469128151,-0.35907911916362767,1
32,50,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 50}",-0.03719357961494917,-0.3643159786265419,1
33,100,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 100}",-0.03649354720405167,-0.3529523058611858,1
34,300,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 300}",-0.03642711433810845,-0.3393892625295575,1
35,500,15,5,"{'max_depth': 5, 'max_features': 15, 'n_estimators': 500}",-0.03557577593654384,-0.3510793148057287,1
36,50,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 50}",-0.03790494292410781,-0.33816553890891154,1
37,100,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 100}",-0.035999068382565,-0.36463806418948047,1
38,300,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 300}",-0.036124294126318526,-0.3730594114933349,1
39,500,20,5,"{'max_depth': 5, 'max_features': 20, 'n_estimators': 500}",-0.03533695570590402,-0.3612931115354192,1
40,50,1,10,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 50}",-0.02191673512892,-0.3989643004855246,1
41,100,1,10,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 100}",-0.021737862392927857,-0.38348078440162975,1
42,300,1,10,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 300}",-0.021115578703206038,-0.38513902093956165,1
43,500,1,10,"{'max_depth': 10, 'max_features': 1, 'n_estimators': 500}",-0.020879062556421926,-0.3828574241311514,1
