,param_C,param_epsilon,param_gamma,param_kernel,params,mean_train_score,mean_test_score,keep
58,50,0.01,0.01,poly,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'poly'}",-0.6229254628459917,-1.3378160046286207,0
59,50,0.01,0.01,sigmoid,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'}",-231.1325204264968,-17.990825449101017,0
60,50,0.01,0.1,rbf,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.1376313632984032,-0.503168602783066,1
61,50,0.01,0.1,poly,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'poly'}",-0.44783185029569017,-7.594811235812388,0
62,50,0.01,0.1,sigmoid,"{'C': 50, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'}",-1523069.5179147501,-284921.6145321377,0
63,50,0.1,0.001,rbf,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",-0.2806156824897944,-0.43691706192559676,1
64,50,0.1,0.001,poly,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",-1.0983415593011319,-1.1730908679550502,1
65,50,0.1,0.001,sigmoid,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.34373202925812585,-0.48478864326832893,1
66,50,0.1,0.01,rbf,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.18254586499821607,-0.36083254599464853,1
67,50,0.1,0.01,poly,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",-0.6144803732182764,-1.2707387276195583,0
68,50,0.1,0.01,sigmoid,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",-230.73612825430928,-17.76529311641607,0
69,50,0.1,0.1,rbf,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.13587105557011347,-0.47668987710454164,1
70,50,0.1,0.1,poly,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'poly'}",-0.4426736362544843,-8.155821608017547,0
71,50,0.1,0.1,sigmoid,"{'C': 50, 'epsilon': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-1526624.3971869764,-284857.1379312471,0
72,50,1,0.001,rbf,"{'C': 50, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'rbf'}",-0.35015251802433633,-0.537992278550228,1
73,50,1,0.001,poly,"{'C': 50, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'poly'}",-1.0674923432201364,-1.087490643226749,1
74,50,1,0.001,sigmoid,"{'C': 50, 'epsilon': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.4168279473069241,-0.6463999039721002,1
75,50,1,0.01,rbf,"{'C': 50, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.2507512081233952,-0.41830574207643095,1
76,50,1,0.01,poly,"{'C': 50, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'poly'}",-0.7516110735858834,-1.0012697799085664,1
77,50,1,0.01,sigmoid,"{'C': 50, 'epsilon': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}",-204.96212655454443,-14.704852730978677,0
78,50,1,0.1,rbf,"{'C': 50, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'rbf'}",-0.3359497678443811,-0.6439260833564235,1
79,50,1,0.1,poly,"{'C': 50, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'poly'}",-0.5367786038580857,-15.35411441605936,0
80,50,1,0.1,sigmoid,"{'C': 50, 'epsilon': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",-1522449.4358646227,-349591.9175031868,0
81,100,0.01,0.001,rbf,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'rbf'}",-0.26645997127825777,-0.4692179804544458,1
82,100,0.01,0.001,poly,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'poly'}",-1.0874964434311016,-1.1721184031679734,1
83,100,0.01,0.001,sigmoid,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.3481310741328486,-0.48624297069970285,1
84,100,0.01,0.01,rbf,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'rbf'}",-0.18045474328057892,-0.3596650693400411,1
85,100,0.01,0.01,poly,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'poly'}",-0.5801245515926904,-1.5737453357815216,0
86,100,0.01,0.01,sigmoid,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.01, 'kernel': 'sigmoid'}",-964.5326387033676,-83.96426270306084,0
87,100,0.01,0.1,rbf,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'rbf'}",-0.12788000263974347,-0.5219505861869514,1
88,100,0.01,0.1,poly,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'poly'}",-0.4502346377329852,-11.589556380398978,0
89,100,0.01,0.1,sigmoid,"{'C': 100, 'epsilon': 0.01, 'gamma': 0.1, 'kernel': 'sigmoid'}",-6089519.009485217,-1140417.6093700242,0
90,100,0.1,0.001,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",-0.2631282868106516,-0.4518693120460465,1
91,100,0.1,0.001,poly,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'poly'}",-1.0801054439050086,-1.1603619079930518,1
92,100,0.1,0.001,sigmoid,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-0.34293823502713516,-0.4802135931391932,1
93,100,0.1,0.01,rbf,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}",-0.17878394346283338,-0.3688673193130577,1
94,100,0.1,0.01,poly,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'poly'}",-0.5714269909801499,-1.3937934879685614,0
95,100,0.1,0.01,sigmoid,"{'C': 100, 'epsilon': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}",-964.2883423752608,-83.19582107515669,0
