,param_n_estimators,param_max_features,param_max_depth,params,mean_train_score,mean_test_score,keep
117,500,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 500}",-0.4006013812810124,-0.4367799642045531,1
118,800,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 800}",-0.4001964149342241,-0.43653944365585556,1
119,1000,1,3,"{'max_depth': 3, 'max_features': 1, 'n_estimators': 1000}",-0.39998173197266557,-0.43572791548834394,1
120,1,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 1}",-0.4534249670189986,-0.4843875928695415,1
121,10,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 10}",-0.37989562798772203,-0.4309000236730195,1
122,15,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 15}",-0.3773688936689215,-0.4223229102403664,1
123,150,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 150}",-0.3747920053454411,-0.42032750967768917,1
124,300,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 300}",-0.3741688921845473,-0.41976383479765494,1
125,500,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 500}",-0.3742544654078963,-0.4196381264695879,1
126,800,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 800}",-0.3742615797655263,-0.4197704305732784,1
127,1000,5,3,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 1000}",-0.3740573924012549,-0.4198393513290733,1
128,1,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 1}",-0.4459933040459426,-0.4667126424889652,1
129,10,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 10}",-0.38148946420381313,-0.41805410710030716,1
130,15,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 15}",-0.37618027366473333,-0.42171507179163664,1
131,150,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 150}",-0.3738334546230469,-0.42169403855414245,1
132,300,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 300}",-0.3740224989482356,-0.4199719026417375,1
133,500,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 500}",-0.37411614923260794,-0.420248999438875,1
134,800,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 800}",-0.37377242052862497,-0.4186063374936094,1
135,1000,10,3,"{'max_depth': 3, 'max_features': 10, 'n_estimators': 1000}",-0.3740932343060871,-0.41902723066807807,1
136,1,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 1}",-0.44729776332639026,-0.5131718993262794,0
137,10,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 10}",-0.37505439188742395,-0.42674011240224113,1
138,15,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 15}",-0.3759921482145631,-0.41807938699130726,1
139,150,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 150}",-0.3744853624708244,-0.4201927802039774,1
140,300,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 300}",-0.3742640010808935,-0.41949192034344485,1
141,500,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 500}",-0.3739889458426919,-0.42014444228118536,1
142,800,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 800}",-0.3739223145182892,-0.41940754154257165,1
143,1000,15,3,"{'max_depth': 3, 'max_features': 15, 'n_estimators': 1000}",-0.3737097778797668,-0.419278873328493,1
144,1,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 1}",-0.4461654235504797,-0.4684996240827671,1
145,10,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 10}",-0.3797645830642697,-0.43274366909312245,1
146,15,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 15}",-0.37922792054984705,-0.42700393612177046,1
147,150,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 150}",-0.37417714390840945,-0.4196696712473395,1
148,300,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 300}",-0.3741784851147879,-0.4205683694738835,1
149,500,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 500}",-0.3744403561191571,-0.42008465198370953,1
150,800,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 800}",-0.373717463871445,-0.42007261379941613,1
151,1000,20,3,"{'max_depth': 3, 'max_features': 20, 'n_estimators': 1000}",-0.3738886749701747,-0.4197211304898514,1
152,1,25,3,"{'max_depth': 3, 'max_features': 25, 'n_estimators': 1}",-0.43791627101369934,-0.46654032597156575,1
153,10,25,3,"{'max_depth': 3, 'max_features': 25, 'n_estimators': 10}",-0.37931747516326786,-0.4248124979976122,1
154,15,25,3,"{'max_depth': 3, 'max_features': 25, 'n_estimators': 15}",-0.37835068511695114,-0.4238953411887076,1
155,150,25,3,"{'max_depth': 3, 'max_features': 25, 'n_estimators': 150}",-0.3736894451934312,-0.4175424887118112,1
156,300,25,3,"{'max_depth': 3, 'max_features': 25, 'n_estimators': 300}",-0.37399532328836066,-0.4205817772133601,1
157,500,25,3,"{'max_depth': 3, 'max_features': 25, 'n_estimators': 500}",-0.3738545688716649,-0.41889697242884677,1
158,800,25,3,"{'max_depth': 3, 'max_features': 25, 'n_estimators': 800}",-0.37410911092653515,-0.42055425460182655,1
159,1000,25,3,"{'max_depth': 3, 'max_features': 25, 'n_estimators': 1000}",-0.37383028970172105,-0.41924155604129343,1
160,1,30,3,"{'max_depth': 3, 'max_features': 30, 'n_estimators': 1}",-0.4465813797829374,-0.4904903409282474,1
161,10,30,3,"{'max_depth': 3, 'max_features': 30, 'n_estimators': 10}",-0.3833329899569563,-0.4318926952161396,1
162,15,30,3,"{'max_depth': 3, 'max_features': 30, 'n_estimators': 15}",-0.37668881263670473,-0.42309586572260705,1
163,150,30,3,"{'max_depth': 3, 'max_features': 30, 'n_estimators': 150}",-0.3744537942804334,-0.4198356075829288,1
164,300,30,3,"{'max_depth': 3, 'max_features': 30, 'n_estimators': 300}",-0.3744542059674252,-0.42194121457204775,1
165,500,30,3,"{'max_depth': 3, 'max_features': 30, 'n_estimators': 500}",-0.3740873437871111,-0.4204214092851788,1
166,800,30,3,"{'max_depth': 3, 'max_features': 30, 'n_estimators': 800}",-0.37395614937539406,-0.42021975059731265,1
167,1000,30,3,"{'max_depth': 3, 'max_features': 30, 'n_estimators': 1000}",-0.37414103394705817,-0.41922838944538965,1
168,1,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 1}",-0.413998207899844,-0.5491612948415003,0
169,10,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 10}",-0.30017840656169287,-0.37623775790690633,0
170,15,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 15}",-0.2970989594704362,-0.3769159430604096,0
171,150,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 150}",-0.28793297487786945,-0.3657862306449672,0
172,300,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 300}",-0.2870694290173044,-0.3646872461030418,0
173,500,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 500}",-0.2869256318375509,-0.36307930378930947,0
174,800,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 800}",-0.2871269426329991,-0.36295062192785277,0
175,1000,1,5,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 1000}",-0.2872259140460969,-0.3630759428562985,0
176,1,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 1}",-0.3513141521261865,-0.47640134247781873,0
177,10,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 10}",-0.2655064857141448,-0.35129929258293086,0
178,15,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 15}",-0.26155335546801645,-0.3494428962886301,0
179,150,5,5,"{'max_depth': 5, 'max_features': 5, 'n_estimators': 150}",-0.257569000824864,-0.34631220438780097,0
